nspname,typname,oid,typarray,typelem,typlen,typtype
pg_catalog,_pg_index,12006,0,12007,-1,b
pg_catalog,_pg_operator,12008,0,12009,-1,b
pg_catalog,_pg_opfamily,12010,0,12011,-1,b
pg_catalog,_pg_opclass,12012,0,12013,-1,b
pg_catalog,_pg_am,12014,0,12015,-1,b
pg_catalog,_pg_amop,12016,0,12017,-1,b
pg_catalog,_pg_amproc,12018,0,12019,-1,b
pg_catalog,_pg_language,12020,0,12021,-1,b
pg_catalog,_pg_largeobject_metadata,12022,0,12023,-1,b
pg_catalog,_pg_largeobject,12024,0,12025,-1,b
pg_catalog,_pg_aggregate,12026,0,12027,-1,b
pg_catalog,_pg_statistic,12028,0,12029,-1,b
pg_catalog,_pg_statistic_ext,12030,0,12031,-1,b
pg_catalog,_pg_statistic_ext_data,12032,0,12033,-1,b
pg_catalog,_pg_rewrite,12034,0,12035,-1,b
pg_catalog,_pg_trigger,12036,0,12037,-1,b
pg_catalog,_pg_event_trigger,12038,0,12039,-1,b
pg_catalog,_pg_description,12040,0,12041,-1,b
pg_catalog,_pg_cast,12042,0,12043,-1,b
pg_catalog,_pg_enum,12044,0,12045,-1,b
pg_catalog,_pg_namespace,12046,0,12047,-1,b
pg_catalog,_pg_conversion,12048,0,12049,-1,b
pg_catalog,_pg_depend,12050,0,12051,-1,b
pg_catalog,_pg_database,12052,0,1248,-1,b
pg_catalog,_pg_db_role_setting,12053,0,12054,-1,b
pg_catalog,_pg_tablespace,12055,0,12056,-1,b
pg_catalog,_pg_authid,12057,0,2842,-1,b
pg_catalog,_pg_auth_members,12058,0,2843,-1,b
pg_catalog,_pg_shdepend,12059,0,12060,-1,b
pg_catalog,_pg_shdescription,12061,0,12062,-1,b
pg_catalog,_pg_ts_config,12063,0,12064,-1,b
pg_catalog,_pg_ts_config_map,12065,0,12066,-1,b
pg_catalog,_pg_ts_dict,12067,0,12068,-1,b
pg_catalog,_pg_ts_parser,12069,0,12070,-1,b
pg_catalog,_pg_ts_template,12071,0,12072,-1,b
pg_catalog,_pg_extension,12073,0,12074,-1,b
pg_catalog,_pg_foreign_data_wrapper,12075,0,12076,-1,b
pg_catalog,_pg_foreign_server,12077,0,12078,-1,b
pg_catalog,_pg_user_mapping,12079,0,12080,-1,b
pg_catalog,_pg_foreign_table,12081,0,12082,-1,b
pg_catalog,_pg_policy,12083,0,12084,-1,b
pg_catalog,_pg_replication_origin,12085,0,12086,-1,b
pg_catalog,_pg_default_acl,12087,0,12088,-1,b
pg_catalog,_pg_init_privs,12089,0,12090,-1,b
pg_catalog,_pg_seclabel,12091,0,12092,-1,b
pg_catalog,_pg_shseclabel,12093,0,4066,-1,b
pg_catalog,_pg_collation,12094,0,12095,-1,b
pg_catalog,_pg_partitioned_table,12096,0,12097,-1,b
pg_catalog,_pg_range,12098,0,12099,-1,b
pg_catalog,_pg_transform,12100,0,12101,-1,b
pg_catalog,_pg_sequence,12102,0,12103,-1,b
pg_catalog,_pg_publication,12104,0,12105,-1,b
pg_catalog,_pg_publication_rel,12106,0,12107,-1,b
pg_catalog,_pg_subscription,12108,0,6101,-1,b
pg_catalog,_pg_subscription_rel,12109,0,12110,-1,b
pg_catalog,_pg_roles,12218,0,12219,-1,b
pg_catalog,_pg_shadow,12223,0,12224,-1,b
pg_catalog,_pg_group,12228,0,12229,-1,b
pg_catalog,_pg_user,12232,0,12233,-1,b
pg_catalog,_pg_policies,12236,0,12237,-1,b
pg_catalog,_pg_rules,12241,0,12242,-1,b
pg_catalog,_pg_views,12246,0,12247,-1,b
pg_catalog,_pg_tables,12251,0,12252,-1,b
pg_catalog,_pg_matviews,12256,0,12257,-1,b
pg_catalog,_pg_indexes,12261,0,12262,-1,b
pg_catalog,_pg_sequences,12266,0,12267,-1,b
pg_catalog,_pg_stats,12271,0,12272,-1,b
pg_catalog,_pg_stats_ext,12276,0,12277,-1,b
pg_catalog,_pg_stats_ext_exprs,12281,0,12282,-1,b
pg_catalog,_pg_publication_tables,12286,0,12287,-1,b
pg_catalog,_pg_locks,12291,0,12292,-1,b
pg_catalog,_pg_cursors,12295,0,12296,-1,b
pg_catalog,_pg_available_extensions,12299,0,12300,-1,b
pg_catalog,_pg_available_extension_versions,12303,0,12304,-1,b
pg_catalog,_pg_prepared_xacts,12308,0,12309,-1,b
pg_catalog,_pg_prepared_statements,12313,0,12314,-1,b
pg_catalog,_pg_seclabels,12317,0,12318,-1,b
pg_catalog,_pg_settings,12322,0,12323,-1,b
pg_catalog,_pg_file_settings,12328,0,12329,-1,b
pg_catalog,_pg_hba_file_rules,12332,0,12333,-1,b
pg_catalog,_pg_timezone_abbrevs,12336,0,12337,-1,b
pg_catalog,_pg_timezone_names,12340,0,12341,-1,b
pg_catalog,_pg_config,12344,0,12345,-1,b
pg_catalog,_pg_shmem_allocations,12348,0,12349,-1,b
pg_catalog,_pg_backend_memory_contexts,12352,0,12353,-1,b
pg_catalog,_pg_stat_all_tables,12356,0,12357,-1,b
pg_catalog,_pg_stat_xact_all_tables,12361,0,12362,-1,b
pg_catalog,_pg_stat_sys_tables,12366,0,12367,-1,b
pg_catalog,_pg_stat_xact_sys_tables,12371,0,12372,-1,b
pg_catalog,_pg_stat_user_tables,12375,0,12376,-1,b
pg_catalog,_pg_stat_xact_user_tables,12380,0,12381,-1,b
pg_catalog,_pg_statio_all_tables,12384,0,12385,-1,b
pg_catalog,_pg_statio_sys_tables,12389,0,12390,-1,b
pg_catalog,_pg_statio_user_tables,12393,0,12394,-1,b
pg_catalog,_pg_stat_all_indexes,12397,0,12398,-1,b
pg_catalog,_pg_stat_sys_indexes,12402,0,12403,-1,b
pg_catalog,_pg_stat_user_indexes,12406,0,12407,-1,b
pg_catalog,_pg_statio_all_indexes,12410,0,12411,-1,b
pg_catalog,_pg_statio_sys_indexes,12415,0,12416,-1,b
pg_catalog,_pg_statio_user_indexes,12419,0,12420,-1,b
pg_catalog,_pg_statio_all_sequences,12423,0,12424,-1,b
pg_catalog,_pg_statio_sys_sequences,12428,0,12429,-1,b
pg_catalog,_pg_statio_user_sequences,12432,0,12433,-1,b
pg_catalog,_pg_stat_activity,12436,0,12437,-1,b
pg_catalog,_pg_stat_replication,12441,0,12442,-1,b
pg_catalog,_pg_stat_slru,12446,0,12447,-1,b
pg_catalog,_pg_stat_wal_receiver,12450,0,12451,-1,b
pg_catalog,_pg_stat_subscription,12454,0,12455,-1,b
pg_catalog,_pg_stat_ssl,12459,0,12460,-1,b
pg_catalog,_pg_stat_gssapi,12463,0,12464,-1,b
pg_catalog,_pg_replication_slots,12467,0,12468,-1,b
pg_catalog,_pg_stat_replication_slots,12472,0,12473,-1,b
pg_catalog,_pg_stat_database,12476,0,12477,-1,b
pg_catalog,_pg_stat_database_conflicts,12481,0,12482,-1,b
pg_catalog,_pg_stat_user_functions,12485,0,12486,-1,b
pg_catalog,_pg_stat_xact_user_functions,12490,0,12491,-1,b
pg_catalog,_pg_stat_archiver,12495,0,12496,-1,b
pg_catalog,_pg_stat_bgwriter,12499,0,12500,-1,b
pg_catalog,_pg_stat_wal,12503,0,12504,-1,b
pg_catalog,_pg_stat_progress_analyze,12507,0,12508,-1,b
pg_catalog,_pg_stat_progress_vacuum,12512,0,12513,-1,b
pg_catalog,_pg_stat_progress_cluster,12517,0,12518,-1,b
pg_catalog,_pg_stat_progress_create_index,12522,0,12523,-1,b
pg_catalog,_pg_stat_progress_basebackup,12527,0,12528,-1,b
pg_catalog,_pg_stat_progress_copy,12532,0,12533,-1,b
pg_catalog,_pg_user_mappings,12537,0,12538,-1,b
pg_catalog,_pg_replication_origin_status,12542,0,12543,-1,b
